ID,DEPT,DESIGNER,DESIGNER_ID,ITEM,DESCRIPTION,UPC,CASEPACK,PRICE,PRODUCT_IMAGE
1,COS        ,Carven,1,I0079409                       ,CARVEN CLEAR POUCH GWP 2019 for WOMEN                                                                ,8.43711E+11,,$5.67 ,
2,COS        ,Completely Bare,2,I0087568                       ,COMPLETELY CLEAN HAND SANITIZER by Completely Bare 8.0oz Spray                                       ,85435700359,,$0.20 ,
3,COS        ,Hanae Mori,3,I0079408                       ,HANAE MORI CLEAR POUCH GWP 2019F                                                                     ,8.43711E+11,,$6.01 ,
4,COS        ,Hanae Mori,3,I0077715                       ,HANAE MORI WHITE POUCH 2019S GWP                                                                     ,8.43711E+11,,$7.31 ,
5,M          ,Nino Cerruti,4,I0008485                       ,1881 (M) EDT SP 1.7oz                                                                                ,6.88575E+11,6,$14.75 ,
6,M          ,Nino Cerruti,4,I0008491                       ,1881 (M) EDT SP 6.8oz(LI)                                                                            ,6.88575E+11,12,$26.00 ,
7,M          ,CH,5,I0088421                       ,212 (M) EDT SP 1.7oz(NEW PACK)(ONLY USA)(LI FREE)                                                    ,8.41106E+12,,$38.50 ,
8,M          ,CH,5,I0085772                       ,212 HEROES FOREVER YOUNG(M)EDT SP 3.0oz(NEW)(LI FREE)                                                ,8.41106E+12,,$55.50 ,
9,M          ,CH,5,I0088420                       ,212 SEXY(M)EDT SP 3.4oz(NEW PACK)(ONLY USA)(LI FREE)                                                 ,8.41106E+12,,$46.50 ,
10,M          ,CH,5,I0085482                       ,212 VIP WINS(M)EDP SP 3.4oz(LI FREE)                                                                 ,8.41106E+12,,$48.50 ,
11,M          ,Fred Hayman,6,I0008826                       ,273 (M) EDC SP 2.5oz                                                                                 ,8.37015E+11,36,$9.50 ,
12,M          ,Perry Ellis,7,I0009049                       ,360 (M) EDT SP 3.3oz(LI)                                                                             ,8.44061E+11,24,$16.00 ,
13,M          ,Perry Ellis,7,I0009053                       ,360 (M) EDT SP 6.7oz(LI)                                                                             ,8.44061E+11,24,$24.50 ,
14,M          ,Perry Ellis,7,I0008978                       ,360 BLACK(M)EDT SP 3.3oz(LI FREE)                                                                    ,8.44061E+11,24,$17.75 ,
15,M          ,Perry Ellis,7,I0073675                       ,360 COLLECTION NOIR(M)EDT SP 3.4oz(LI FREE)                                                          ,8.44061E+11,,$20.00 ,
16,M          ,Perry Ellis,7,I0009009                       ,360 COLLECTION(M)EDT SP 3.4oz(LI FREE)                                                               ,8.44061E+11,,$18.50 ,
17,M          ,Perry Ellis,7,I0009084                       ,360 RED(M)EDT SP 3.3oz(LI)                                                                           ,8.44061E+11,,$18.50 ,
18,M          ,Perry Ellis,7,I0009087                       ,360 RED(M)EDT SP 6.7oz(LI)                                                                           ,8.44061E+11,,$26.00 ,
19,M          ,Muelhens,8,I0009429                       ,4711 (M)EDC SPL 6.8oz(LI FREE)                                                                       ,4.0117E+12,23,$9.75 ,
20,M          ,Muelhens,8,I0009411                       ,4711 (M)EDC SPLASH 10.0oz(LI FREE)                                                                   ,4.0117E+12,18,$12.00 ,
21,M          ,Echt Kolnisch,9,I0087544                       ,4711(M)EDC SP 1.7oz(LI FREE)                                                                         ,4.0117E+12,,$5.50 ,
22,M          ,Abercrombie and Fitch,10,I0082479                       ,ABERCROMBIE &FITCH AUTHENTIC(M)EDT SP 3.4oz(LI)                                                      ,85715166012,,$19.50 ,
23,M          ,Abercrombie and Fitch,10,I0085246                       ,ABERCROMBIE &FITCH FIERCE(M)EDC SP 6.7oz(NEW PACK)(USA ONLY)                                         ,634349685,,$78.50 ,
24,M          ,Abercrombie and Fitch,10,I0081382                       ,ABERCROMBIE &FITCH FIERCE(M)EDC SP 6.7oz(USA ONLY)                                                   ,634349685,,$78.50 ,
25,M          ,Abercrombie and Fitch,10,I0062979                       ,ABERCROMBIE &FITCH FIRST INSTINCT(M)EDT SP 3.4oz                                                     ,85715163103,,$18.50 ,
26,M          ,Visconti Di Modrone,11,I0009863                       ,ACQUA DE SELVA(M)EDC SP 3.4oz                                                                        ,8.00915E+12,,$9.50 ,
27,M          ,Visconti Di Modrone,11,I0009864                       ,ACQUA DE SELVA(M)EDC SPLASH  6.7oz                                                                   ,8.00915E+12,15,$15.00 ,
28,M          ,Adidas,12,I0075028                       ,ADIDAS GET READY(M)EDT SP 3.4oz                                                                      ,3.60734E+12,,$4.25 ,
29,M          ,Ajmal,13,I0084765                       ,AJMAL ARISTOCRAT PLATINUM (M)EDP SP 2.5oz                                                            ,6.29371E+12,,$36.50 ,
30,M          ,Al Haramain,14,I0090046                       ,AL HARAMAIN AMBER OUD BLACK(U)EDP SP 2.0oz(LI FREE)                                                  ,6.2911E+12,,$30.00 ,
31,M          ,Al Haramain,14,I0058034                       ,AL HARAMAIN AMBER OUD BLACK(U)EDP SP 3.33oz(LI FREE)                                                 ,22548204627,,$37.50 ,
32,M          ,Al Haramain,14,I0057838                       ,AL HARAMAIN AMBER OUD BLACK(U)EDP SP 5.07oz(LI FREE)WITH ATOMIZER                                    ,8.01837E+12,,$45.50 ,
33,M          ,Al Haramain,14,I0057968                       ,AL HARAMAIN AMBER OUD BLACK(U)EDP SP 6.7oz(LI FREE)WITH ATOMIZER                                     ,1.85798E+11,,$52.00 ,
34,M          ,Al Haramain,14,I0088059                       ,AL HARAMAIN AMBER OUD BLEU(M)EDP SP 2.0oz(LI FREE)                                                   ,6.2911E+12,,$31.00 ,
35,M          ,Al Haramain,14,I0087379                       ,AL HARAMAIN AMBER OUD BLEU(M)EDP SP 3.4oz(LI FREE)                                                   ,6.2911E+12,,$36.25 ,
36,M          ,Al Haramain,14,I0087705                       ,AL HARAMAIN AMBER OUD BLEU(M)EDP SP 6.7oz(With Refillable Atomizer)(LI FREE)                         ,6.2911E+12,,$50.50 ,
37,M          ,Al Haramain,14,I0088063                       ,AL HARAMAIN AMBER OUD CARBON(M)EDP SP 2.0oz(LI FREE)                                                 ,6.29111E+12,,$31.25 ,
38,M          ,Al Haramain,14,I0087378                       ,AL HARAMAIN AMBER OUD CARBON(M)EDP SP 3.4oz(LI FREE)                                                 ,6.2911E+12,,$39.00 ,
39,M          ,Al Haramain,14,I0088061                       ,AL HARAMAIN AMBER OUD CARBON(M)EDP SP 6.7oz(LI FREE)                                                 ,6.29111E+12,,$50.50 ,
40,M          ,Al Haramain,14,I0075402                       ,AL HARAMAIN KNIGHT(M)EDP SP 3.3oz(LI FREE)                                                           ,6.2911E+12,,$22.50 ,
41,M          ,Al Haramain,14,I0088980                       ,AL HARAMAIN L'AVENTURE INTENSE(M)EDP SP 3.4oz(LI FREE)                                               ,6.2911E+12,,$24.00 ,
42,M          ,Al Haramain,14,I0079795                       ,AL HARAMAIN L'AVENTURE(M)EDP SP 3.4oz(LI FREE)                                                       ,7.72845E+11,,$20.25 ,
43,M          ,Al Haramain,14,I0090299                       ,AL HARAMAIN MUSK COLLECTION(M)EDP SP 3.3oz(LI FREE)                                                  ,6.2911E+12,,$34.50 ,
44,M          ,Al Haramain,14,I0089874                       ,AL HARAMAIN NOIR FRENCH COLLECTION(U)EDP SP 3.33oz(LI FREE)                                          ,6.29111E+12,,$29.00 ,
45,M          ,Al Haramain,14,I0082862                       ,AL HARAMAIN OPULENT SAFFRON(M)EDP SP 3.3oz(LI FREE)                                                  ,6.2911E+12,,$27.50 ,
46,M          ,Al Haramain,14,I0088968                       ,AL HARAMAIN OUDH ADAM(M)EDP SP 2.5oz(LI FREE)                                                        ,6.2911E+12,,$43.50 ,
47,M          ,Al Haramain,14,I0088964                       ,AL HARAMAIN OUDH BURMA(M)EDP SP 2.5oz                                                                ,6.2911E+12,,$43.50 ,
48,M          ,Al Haramain,14,I0088961                       ,AL HARAMAIN PORTFOLIO IMPERIAL OUD(M)EDP SP 2.5oz(LI FREE)                                           ,6.2911E+12,,$48.00 ,
49,M          ,Al Haramain,14,I0088960                       ,AL HARAMAIN PORTFOLIO ORIENTAL FOREST(M)EDP SP 2.5oz(LI FREE)                                        ,6.2911E+12,,$48.00 ,
50,M          ,Al Haramain,14,I0081817                       ,AL HARAMAIN PORTFOLIO ROYALE STALLION(M)EDP SP 2.5oz(LI FREE)                                        ,6.2911E+12,,$48.00 ,
51,M          ,Al Haramain,14,I0088970                       ,AL HARAMAIN SHEIKH(M)EDP SP 2.9oz(LI FREE)                                                           ,6.2911E+12,,$12.00 ,
52,M          ,Al Haramain,14,I0090297                       ,AL HARAMAIN SIGNATURE BLUE(M)EDP SP 3.3oz(LI FREE)                                                   ,6.2911E+12,,$14.50 ,
53,M          ,Al Haramain,14,I0089885                       ,AL HARAMAIN SIGNATURE(M)EDT SP 3.33oz(LI FREE)                                                       ,6.2911E+12,,$13.50 ,
54,M          ,Al Haramain,14,I0090296                       ,AL HARAMAIN STORY OF MY LIFE(M)EDP SP 2.5oz(LI FREE)                                                 ,6.2911E+12,,$14.50 ,
55,M          ,Amando,15,I0089180                       ,AMANDO NOIR(M)EDT 1.7oz (S/R)                                                                        ,8.71432E+12,,$4.50 ,
56,M          ,Perry Ellis,7,I0011233                       ,AMERICA (M) EDT SP 5.0oz(LI FREE)                                                                    ,8.44061E+11,6,$9.75 ,
57,M          ,Animale,16,I0075347                       ,ANIMALE ANIMALE(M)EDT SP 6.8oz(LI)                                                                   ,8.92456E+11,,$17.75 ,
58,M          ,Animale,16,I0084559                       ,ANIMALE SEDUCTION (M) EDT SP 3.4oz(LI)                                                               ,8.78813E+11,,$17.50 ,
59,M          ,Antonio Banderas,17,I0023832                       ,ANTONIO BANDERAS DIAVOLO(M)EDT SP 3.4oz                                                              ,8.41106E+12,12,$9.25 ,
