id,dept,designer_id,designer,item,description,upc,price ,visibility,product_image,currency
1,WTST       ,6,Al Haramain,I0090435                       ,"AL HARAMAIN AMBER OUD WHITE(U)(T)EDP SP 6.7oz(CAP,BOX)                                               ",1047,39.5,,perfume.jpg,USD
2,SW         ,41,Bvlgari,I0090383                       ,"BVLGARI GOLDEA BLOSSOM DELIGHT(W)(DF)(LI FREE)2PC SET(2.5oz edp sp,15ml edp sp)                      ",7.8332E+11,66,,perfume.jpg,USD
3,SM         ,41,Bvlgari,I0090382                       ,"BVLGARI MAN GLACIAL ESSENCE(M)(DF)(LI FREE)2PC SET(3.4oz edp sp,15ml edp sp)                         ",7.8332E+11,67,,perfume.jpg,USD
4,M          ,41,Bvlgari,I0090381                       ,"BVLGARI MAN TERRAE ESSENCE(M)(H/B)(LI FREE)2PC SET(3.4oz edp sp,15ml edp sp)                         ",7.8332E+11,59,,perfume.jpg,USD
5,M          ,236,Ralph Lauren,I0090380                       ,POLO RED(M)EDT SP 4.2oz(NEW PACK)(LI FREE)                                                           ,3.60597E+12,43,,perfume.jpg,USD
6,W          ,81,Elizabeth Taylor,I0090379                       ,"WHITE DIAMONDS(W)(H/B)(LI FREE)4PC SET(3.3oz edt sp,15ml edp sp, 3.3oz Body Lotion, 3.3oz Body Wash) ",7.19346E+11,28.5,,perfume.jpg,USD
7,W          ,151,Kate Spade,I0090378                       ,KATE SPADE CHERIE(W)EDP SP 3.3oz(LI FREE)                                                            ,3.38646E+12,26,,perfume.jpg,USD
8,W          ,40,Burberry,I0090377                       ,BURBERRY MY BURBERRY BLUSH(W)EDP SP 3.0oz(LI FREE)                                                   ,3.61423E+12,76,,perfume.jpg,USD
9,SW         ,212,Oscar De La Renta,I0090371                       ,"OSCAR BELLA BLANCA(W)(H/B)(LI FREE)3PC SET(3.4oz edp sp,3.4oz body lotion,1.0oz edp sp)              ",85715592620,42,,perfume.jpg,USD
10,SW         ,212,Oscar De La Renta,I0090370                       ,"OSCAR(W)(H/B)(LI FREE)3PC SET(3.4oz edt sp,3.4oz Body lotion,1.0oz edt sp)                           ",85715592637,40.5,,perfume.jpg,USD
11,W          ,56,Coach,I0090369                       ,COACH SIGNATURE COLOR(W)EDP SP 3.3oz(LI FREE)                                                        ,3.38646E+12,30,,perfume.jpg,USD
12,WTST       ,251,Salvatore Ferragamo,I0090368                       ,"SALVATORE FERRAGAMO OCEANI DI SETA(U)(T)EDP SP 3.4oz(NO CAP, BOX)                                    ",8.05246E+12,29.5,,perfume.jpg,USD
13,WTST       ,249,Salavatore Ferragamo,I0090367                       ,"SALVATORE FERRAGAMO GIUNGLE DI SETA(U)(T)EDP SP 3.4oz(NO CAP, BOX)                                   ",8.05246E+12,29.5,,perfume.jpg,USD
14,WTST       ,251,Salvatore Ferragamo,I0090366                       ,"SALVATORE FERRAGAMO GIARDINI DI SETA(U)(T)EDP SP 3.4oz(NO CAP, BOX)                                  ",8.05246E+12,29.5,,perfume.jpg,USD
15,WTST       ,249,Salavatore Ferragamo,I0090365                       ,"SALVATORE FERRAGAMO SAVANE DI SETA(U)(T)EDP SP 3.4oz(NO CAP, BOX)                                    ",8.05246E+12,29.5,,perfume.jpg,USD
16,W          ,251,Salvatore Ferragamo,I0090364                       ,SALVATORE FERRAGAMO OCEANI DI SETA(U)EDP SP 3.4oz(LI FREE)                                           ,8.05246E+12,38,,perfume.jpg,USD
17,W          ,251,Salvatore Ferragamo,I0090363                       ,SALVATORE FERRAGAMO GIUNGLE DI SETA(U)EDP SP 3.4oz(LI FREE)                                          ,8.05246E+12,38,,perfume.jpg,USD
18,W          ,251,Salvatore Ferragamo,I0090362                       ,SALVATORE FERRAGAMO GIARDINI DI SETA(U)EDP SP 3.4oz(LI FREE)                                         ,8.05246E+12,38,,perfume.jpg,USD
19,W          ,251,Salvatore Ferragamo,I0090361                       ,SALVATORE FERRAGAMO SAVANE DI SETA(U)EDP SP 3.4oz(LI FREE)                                           ,8.05246E+12,38,,perfume.jpg,USD
20,W          ,86,Estee Lauder,I0090359                       ,ESTEE LAUDER AZUREE(W)EDP SP 1.7oz(LI FREE)                                                          ,8.87167E+11,45.5,,perfume.jpg,USD
21,W          ,86,Estee Lauder,I0090358                       ,ESTEE LAUDER CINNABAR(W)EDP SP 1.7oz(LI FREE)                                                        ,8.87167E+11,45.5,,perfume.jpg,USD
22,W          ,86,Estee Lauder,I0090357                       ,ESTEE LAUDER ALIAGE(W)SPORT EDP SP 1.7oz(LI FREE)                                                    ,8.87167E+11,42.5,,perfume.jpg,USD
23,M          ,111,Gucci,I0090356                       ,BOSS BOTTLED NIGHT(M)EDT SP 3.3oz(LI FREE)                                                           ,7.37052E+11,36.5,,perfume.jpg,USD
24,W          ,111,Gucci,I0090355                       ,BURBERRY MY BURBERRY BLACK(W)PARFUM SP 1.6oz(LI FREE)                                                ,3.61423E+12,46,,perfume.jpg,USD
25,WTST       ,6,Al Haramain,I0090354                       ,"AL HARAMAIN L'AVENTURE(W)(T)EDP SP 6.76oz(CAP,BOX)                                                   ",6.2911E+12,24.5,,perfume.jpg,USD
26,W          ,112,Guerlain,I0090353                       ,GUERLAIN AQUA ALLEGORIA FLORA SALVAGGIA (W)EDT SP 4.2oz(LI FREE)                                     ,3.34647E+12,42,,perfume.jpg,USD
27,W          ,112,Guerlain,I0090352                       ,GUERLAIN AQUA ALLEGORIA NETTARE DI SOLE(W)EDT SP 4.2oz(LI FREE)                                      ,3.34647E+12,41,,perfume.jpg,USD
28,W          ,74,Donna Karan,I0090351                       ,DKNY BE EXTRA DELICIOUS(W)EDP SP 3.4oz(LI FREE)                                                      ,85715950147,30,,perfume.jpg,USD
29,W          ,74,Donna Karan,I0090350                       ,DKNY GOLDEN DELICIOUS(W)EDP SP 3.4oz (NEW PACK)(LI FREE)                                             ,85715950116,30,,perfume.jpg,USD
30,SM         ,77,Dunhill,I0090349                       ,"DESIRE RED(M)(H/B)(LI FREE)2PC SET(3.4oz edt sp,6.0oz Deo Body Spray)                                ",85715807526,20,,perfume.jpg,USD
31,SM         ,77,Dunhill,I0090348                       ,"DESIRE BLUE(M)(H/B)(LI FREE)2PC SET(3.4oz edt sp,6.0oz Deo Body Spray)                               ",85715807533,20,,perfume.jpg,USD
32,M          ,210,Orientica,I0090346                       ,ORIENTICA XO XCLUSIF OUD ROUGE(U)EXTRAIT DE PARFUM SP 2.0oz(LI FREE)                                 ,6.297E+12,47,,perfume.jpg,USD
33,M          ,210,Orientica,I0090344                       ,ORIENTICA XO XCLUSIF OUD BLUE(U)EXTRAIT DE PARFUM SP 2.0oz(LI FREE)                                  ,6.297E+12,46.5,,perfume.jpg,USD
34,M          ,210,Orientica,I0090343                       ,ORIENTICA XO XCLUSIF OUD EMERALD(U)EXTRAIT DE PARFUM SP 2.0oz(LI FREE)                               ,6.297E+12,46.5,,perfume.jpg,USD
35,M          ,210,Orientica,I0090342                       ,ORIENTICA XO XCLUSIF OUD CLASSIC(U)EXTRAIT DE PARFUM SP 2.0oz(LI FREE)                               ,6.297E+12,46.5,,perfume.jpg,USD
